,job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
14336,14337,Business Development Associate,"US, CA, Irvine",Sales,36000-60000,"HappyFox is a young startup that is all about bringing the happiness quotient in support teams. We help companies transform their customer support teams from good to great. Our offering includes a help desk ticketing system, self-center support center, knowledge base, forum and social media support management. For more info, check out: #URL_7fe95ca462a848b79ff7744e7d9d59c2b6814caf76ccea2db2eb1cec5090c67f#","HappyFox is all about bringing the happyness quotient in support teams. We help companies transform their customer support teams from good to great.As a Business Development Associate  at HappyFox, you will be responsible toIdentify partnership opportunities and execute the deal starting with partner assessment, financial terms and negotiations.Work on partnerships including product integrations partnerships, reselling partnerships and companies that could locally distribute and deploy solutions with customizations.Identify and establish a HappyFox presence in relevant networking events and trade shows meant for prospective users, influencers and decision makers.Work on co-marketing activities with companies strategising and planning mutual promotions and arrive at benefits ($ or Brand value).","Prior experience doing business development for a high-growth technology startup1 - 3  years of experience negotiating and managing commercial relationshipsExcellent communication and networking skillsAbility to develop strong business case, financial modelling and understanding legal terms.Track record of maintaining outstanding customer satisfactionStrong understanding of technology and business processesPrior knowledge about customer support and help desk industryExperience working with SaaS products integration will be a big plusBachelor's degree in business, finance or marketing",Competitive pay with growth prospects within the companyCasual and high energy work environment where you could see your ideas win,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Sales,0
14338,14339,Inside Sales Manager DACH,"GB, LND, London",Sales - DE,45000-65000,"Founded in 2010 by a team from Google’s London and New York offices, Qubit work with some of the biggest names in Online. Our engineers have built a brand new platform that combines a number of technologies – analytics, automation, personalisation and more – into a simple, easy-to-use product.We’re not the only ones excited about our brand new approach to solving the problems of modern e-Commerce. Wired magazine named Qubit as one of the top 5 hottest startups in London. We’ve raised $7.5 million in Series A funding from one of the UK’s biggest venture capitalists! Come and join the growing team as we embark on the most exciting chapter in Qubit’s history.Although we’ve now grown to more than 90 people, we’re keen on keeping our culture as relaxed and open as when there were only 5 of us. Our offices have table football, kitchen full of fruit and other snacks, never ending coffee supply, dinner service and lots of other startup perks. More importantly we’re a focused and determined team preparing to double in size during 2014!","Qubit: Cutting Edge Big Data EngineeringQubit is one of the UK’s leading SaaS vendors with a unique product that makes sense of a crowded digital analytics, automation and personalisation space.We need a German speaking Inside Sales Manager to own the operational and strategic aspects of our Sales efforts in the DACH region (initially from our London office, with move to Germany anticipated).This is a role for an ambitious salesperson with several years experience in technology or e-commerce sales.What You’ll Be DoingManaging and optimising the pre-sales process while working closely with a team of star Business DevelopersUnderstanding the available market and identifying the key players (companies &amp; individuals)Creating and managing contracts and sales proposalsSupporting the Request for Proposal process, providing assistance and helping to identify strategiesDeveloping sales presentations that can be individually tailored to different sectors and countriesHelping to prepare and coordinate Product demonstrations with a growing Sales team across multiple marketsIdentifying best practice, producing and maintaining templates for all pre-sales activities to optimise efficienciesManaging the Account prioritisation with Research, Business Development and Direct Sales teamsManaging Salesforce and optimisation of lead and account distribution processesIdentifying Sales Intelligence tools for more effective account prioritisation and lead generation","What We’re Looking ForBy submitting your application you understand that Qubit will store your data in accordance with local lawsA graduate with any degree discipline and several years experience in either Business Development, Inside Sales or Sales OperationsStrong understanding of e-commerce businesses, and an enthusiasm for the technology industryExcellent communication and interpersonal skills, you will be coordinating a Sales team that is expanding internationallyFluent in German &amp; English - additional languages beneficial but not requiredExperience using Salesforce CRM system will be extremely beneficial, if you’re a Salesforce Administrator that’s even betterA strategic mindset with an ability to identify quick wins, make calls on the best approach to take in different situations, and an understanding of Sales processesYou will be very organised and able to change your plans flexibly","Plenty of perksAs well as the opportunity to solve complex problems in this exciting new era of big data, here’s what we offer:Realistic performance related bonusesGenerous equity options mean you’ll own a piece of the pieExcellent health and dental insurance packagesA relaxed approach to time off and enough holidays to see several corners of the worldFridge fully stocked with healthy snacks and the ultimate espresso machine for your java fixA competitive office where we play foosball, football, scrabble, go-karting… you name it, we’ll play itThank Qubit it’s Friday – we have lots of creative ways to let off steam at the end of the weekPlenty of opportunities for training and development",0,1,1,Full-time,Mid-Senior level,Unspecified,Internet,Business Development,0
14435,14436,Embedded Software Engineer,"NZ, N, Auckland",Development,60000-80000,"You're youthful, tech savvy and open-minded right? So are we. We aim for excellence in everything that we do, by continually improving the way we do everything, from coding to washing the dishes. Part of this is making sure our team are able to expand their knowledge by developing new skills. We work together on a weekly basis to improve company processes, and everyone is involved in this.","We need someone to research, design, implement, test and support firmware for the spidertracks hardware range, under the guidance of the CTO, and in conjunction with our hardware design team. Development of firmware for: Our range of hardware productsFirmware Upgrade ToolsInternal Customers Engagement in the software planning process Input to development planning Estimations and advice Maintenance and support of current software and firmwareTesting firmware Conformance with company development policies Perform On-Call duties in accordance with on call schedule and requirements Performance of On-Call duties will be on a regular rotation, and may include the need to work on public holidays and weekends, for which alternative days off will be provided Supporting the work of our software development team, with potential to work on our web and mobile applications",Master of Engineering majoring in Computer Science/IT/Mechatronics or a related discipline or higherExperience in writing firmware for embedded systemsInternational experience through either work or pleasureProject managementWeb application familiarityAviation experience or interest is an advantage,"You get to work here! And we'll pay you.Sometimes on a Friday, we go out to lunch. Competitive salary and a great bunch of people to work with. ",0,1,1,Full-time,Entry level,Master's Degree,Information Technology and Services,Engineering,0
14451,14452,Customer Success Associate,"US, PA, Philadelphia",Support,40000-60000,"We launched Involvio as students at Drexel University in Philadelphia out of our frustration that keeping track of events happening on campus was just too hard - we knew there must have been a better way, but there wasn’t, so we built it!We took the top prize upon graduating from the GE/OMD Incubator program in New York City and have since grown by leaps and bounds. Our product is used by thousands of students on campuses across the US and Canada. Our team is laser focused on building tools that boost student engagement.","We’re looking for an enthusiastic individual to join our rapidly growing company. We love our customers and we're passionate about helping them increase student engagement on their campuses. We’re also passionate about providing them with best-in-class support to optimize their on campus programming with Involvio - that’s where you come in.As a customer success associate, you’ll be a core part of the Involvio team, and regularly interact with amazing school administrators,  inspiring students, and of course our management. You’ll also have the opportunity to help drive Involvio's growth and contribute to the expansion of our feature set.Responsibilities:Interfacing with new clients, helping to introduce and acclimate them to involvioProviding support and assistance over phone, email and live chat to school administrators and studentsStrategizing with colleges and universities to best implement and use involvio to increase engagement on their campusesManaging Involvio's internal dashboardsIncreasing Involvio’s social media presenceDistributing and developing marketing materials and school resourcesBrainstorming to improve Involvio’s overall effectiveness on college campuses","4-year degreeFluent in English, additional language skills an advantageExceptional communication skills, including presentation and training abilitiesEmpathy to work with different stakeholders throughout the process (Administrators &amp; Students)Must be technology savvyStrong understanding of college cultureHard working, self-motivated, and intelligent (ability to identify needs and quickly develop solutions)Excellent time management and multi-tasking skillsWillingness to work flexible hours when required Our Ideal Candidate would also have:Experience in mobile or a technology-related roleExperience with SFDC",Brand new Mac or PC laptopiPadMonthly cell phone plan allowanceHealth InsuranceStock OptionsFlexible Work Hours,0,1,1,Full-time,Associate,Bachelor's Degree,Internet,Customer Service,0
14479,14480,Networking Engineer,"US, TX, Temple",IT Services,40000-70000,"At McLane Intel, we believe that everyone should love where they work! We understand that our ongoing success is attributed to our remarkable staff. We are a company that promotes career growth, ongoing learning, and professional development for all of our employees.We have a wide range of positions throughout the company and accept and support a broad array of applicants—from recent graduates to seasoned professionals. If you are willing to follow our company values, enjoy learning new skills, and plan to succeed in your career—we want you to apply.Here are a few things we offer that others often don’t:Autonomy – We offer a management team that treats their employees with respect and values their input, along with a team of skilled technicians that put their teammates above themselves.Mastery &amp; Growth – We promote from within and work each one of our technicians to help them get certifications and rise in the tiers experience.Purpose – We have a mission and a culture that every employee is strongly invested in working towards because we hand-picked people that love what they do. It’s the difference between people in a row boat rowing as they see fit, and people rowing the same direction.Benefits – Our benefits are some of the best around. We have awesome health insurance and a great PTO policy. We have an Awesome Teammate Bonus, where employees nominate other employees weekly. Each full-time employee has a monthly personal and team bonus with specific targets for performance, so you always know how you’re doing.A bit more about what we do:McLane Intelligent Solutions (MIS) is fast-growing and dynamic managed services provider located in Bell county in Central Texas. We provide a broad range of outsourced IT including design, installation, support, maintenance and consulting services to the SMB market. We have a rising need for smart, talented, hard-working, and capable team members who love challenges, want to know they are making a difference every day, and want to join a fast-paced, demanding and fun team of professionals.","At McLane Intelligent Solutions, we attribute our success to our remarkable staff.  We promote career growth, ongoing learning and professional development for all of our employees.  We also offer a level of dedication to our employees that is second-to-none. Ask yourself this:Are you passionate about working with computers?  Do you enjoy helping your family and friends with their technical problems?  Do you love learning and want to expand your IT skills?  Do you have experience with networks, workstations and servers? Then look no further, we want you on our team!  This is your opportunity to work with other people who are passionate about technology in an atmosphere that promotes challenge and teamwork, yet honors your life outside of work.What Do We Do?McLane Intelligent Solutions is a fast-growing managed services provider (MSP) located in Central Texas. We provide a broad range of outsourced IT services including design, installation, support, maintenance and consulting to the Small/Medium Business market. Why do you want to join us?Benefits - We have great health insurance and paid time off. We provide a weekly Awesome Teammate Bonus, where employees nominate other employees for exceptional work. Each full-time employee also has a monthly personal and team bonus with specific targets for performance, so you always know how you’re doing.Growth - We work with each technician to help them become certified and advance in their knowledge of the field. We also promote from within because we believe in building our employees to be our future leaders.Extraordinary People and Culture - We pride ourselves on having great communication within our company. Each employee meets with their supervisor regularly to discuss their individual development and we have a company-wide weekly meeting to go over our company’s progress.Values – Our company has five values that drive how we do business: Integrity, Service above Self, Work with Rigor at Work, Authentic Conversation, and Enjoy and be a Joy.Due to growth, we have the following positions on our Professional Services Engineering Team in Temple, TX:IT Project Manager - $40K-$70K DOE - Entry Level to ExperiencedOur Systems Engineers work as a team to design and implement solutions to complex business problems for our clients.  We are looking for the following skills:","Experience in providing customer service on-site and remote on a technical level to an end user clientExperience with LAN/WAN network technologies (i.e. installation of routers, switches, and network client software)Hands on technical PC support and service experience, desktop and laptop hardware and software troubleshooting, installation, configuration and upgradesExperience with desktop operating systems and application software products in a Windows environment.Excellent oral/written communication skills (emphasis on technical communication) in a business environment.  Must be fluent in the English language.Valid driver’s license/good driving record, and reliable transportationCandidate must have ability to pass an extensive background check and drug screen.PREFERRED (but not required):Associate’s Degree in Computer Science, MIS, or similar discipline and a minimum of 2+ years’ experience.Certifications such as A+, Network +, MTA, etc., are a plus but not required.TCP/IP, DNS, DHCP and Cisco firewalls and switchesTerminal Services a plusMS Server experience a plusPHYSICAL REQUIREMENTS:Ability bend, crouch, crawl Ability to lift up to 75 lbs. Ability to use phone and phone headset Ability to type using a keyboard and mouse ","All qualified McLane Intelligent Solutions employees receive:Paid VacationAmazing Health, Dental, Vision, and prescription insurance Short-term and long-term disability benefits 401K Flexible Spending Accounts Company provided Life InsuranceAnd much more...Come explore what life in Central Texas is all about in a family friendly community and company!McLane Intelligent Solutions is an equal opportunity employer.  We consider applicants for all positions without regard to race, color, religion, gender, national origin, age, marital status, sexual identification or veteran status, the presence of a non-job-related medical condition or handicap, or any other legally protected status.",0,1,1,Full-time,Associate,Associate Degree,Information Technology and Services,Information Technology,0
14491,14492,Customer Service Representative,"US, TX, Grand Prairie",Internet,32000-42000,"AutoAmerica is trying to make the worst consumer experience fast, easy and enjoyable. It is no easy task, but we are out to disrupt the automotive industry and change it forever. In order to do that, we need a diversity of perspectives and experience. If you are energized by thinking creatively and working for a company where you will be able and expected to make a meaningful impact from day one, then we are the place for you.","We are looking for customer-oriented service representatives to provide information to our guests and assist them in their purchase process via the phone and internet.   The following are key....Daily duties include responding to internet leads, answering inbound phone calls, and occasionally working with guests in person while guiding them through the process of securing the vehicle of their dreams.Associates are expected to share the benefits of doing business with our Company with all guests.The goal of every interaction is to be enthusiastic, engaging, and build trust.Applicants must have a love of helping people and possess the drive to achieve superior customer satisfaction. ",Must Have...Excellent Customer Service skillsExceptional Verbal and Written Communication skillsProfessional Appearance and DemeanorOutgoing and Friendly PersonalityPositive/Enthusiastic AttitudeThe Ability to Multi-Task in a Fast Paced EnvironmentComputer Skills and Comfortable Utilizing Different Software Minimum of 1 year Experience in a High Volume Call Center EnvironmentExceptional Phone Skills,"We offer our associates:Annual income based on experience/associate level and estimated at $32,000-$42,000Weekly PayMedical, Dental, and Vision Training and Coaching Growth opportunities (we promote from within and are growing!)And much more!",0,1,1,Full-time,Entry level,High School or equivalent,Automotive,Customer Service,0
14506,14507,Social Media Manager,"US, NY, New York",Marketing,28000-35000,"As augmented reality jobs go, one at Blippar is hard to beat. We are a rapidly expanding creative startup at the forefront of a brand new industry, so working here offers real opportunities to shape an innovative technology and the way in which people use it.Because of this, we like working with imaginative people who think outside the box, and we love people who throw the whole box away and build something completely new. Our bright, open, centrally located offices are energetic environments bursting with collaborative ideas and boundless enthusiasm.Aside from being part of an exciting, driven, super-friendly team that will nurture your talents and help you grow, at Blippar you’ll find plenty more tangible benefits, including weekly free lunches, evening drinks, and Olive, the office dog.You’ll also be working intimately, from the start, with some of the world’s biggest brands - from Coca Cola and Nestle to Conde Nast, P&amp;G and Jaguar.As a young, growing company spearheading the exciting augmented reality industry, the biggest perk of all is the creative control you’ll be afforded, whether you’re part of the design, tech, commercial or marketing teams. After all, we think our people are amazing, so we want them to stick around.","Here at Blippar we are looking for a brilliant Social Media Manager to take control of our online social presence and manage the company’s communities across all channels internationally. This is a phenomenal opportunity to join one of the fastest growing and most exciting augmented reality platforms in the world, and to have a genuine and long-term impact on how our social output affects Blippar’s global marketing strategy.You will work closely with the Global Marketing Manager and Blippar’s international marketing teams to boost our social presence and followings across all core channels: Twitter, Facebook, Instagram, YouTube, LinkedIn, Google+, Pinterest, Vine and Vimeo. You will own the strategy, direction and tone of voice across all of Blippar’s core social channels, in line with the wider marketing strategy defined by the CMO and Global Marketing Manager. You will help Blippar promote campaigns, successes and industry news to ensure we continue portraying an innovative and exciting vision of our company’s business and projects to the world.","We are looking for candidates with previous experience managing the social media presence for both B2B and B2C businesses, and successful applicants will have an innovative and refreshing approach (with a hacker’s forward-thinking mentality) when it comes to growing and analysing social media channels. Ideally you will be creative, a superb writer, and a self-confessed social media geek.Successful candidates will have:Excellent, in-depth knowledge of all social media platforms (Facebook, Twitter, LinkedIn, Instagram, Youtube, etc.) and their respective users, and how each platform can be most effectively utilised in all scenarios.The confidence and skill to communicate information and ideas effectively, both verbally and in written English, and an innate talent for building, nurturing and maintaining relationships both on and offline.Substantial technical understanding of analytics and social technology, and the ability to quickly pick up and run with new tools and programs.Strong project management and organisational skillsThe self-confidence to work under pressure - both as part of a team and individually - in a fast-paced environmentFlair for working as part of a global team.","Our bright, open, centrally located offices are energetic environments bursting with collaborative ideas and boundless enthusiasm. As a growing company spearheading the exciting augmented reality industry, the biggest perk of all is the creative freedom and control you’ll be afforded; this is a genuine opportunity to shape a brand new medium and the way in which people all over the world use it.You will be working closely, and from the start, with some of the world’s leading brands, media agencies, publishers and educators - including Pepsi, Warner Brothers, Procter &amp; Gamble, Conde Nast, Disney and Coca Cola - developing creative augmented reality solutions for global powerhouses across the full spectrum of industries. What we are doing has never been done before, so an active imagination is something we value particularly highly.Blippar’s senior management team are dedicated, hands-on, approachable people who will nurture your talent and encourage the development of your own ideas; we believe these are key to the continued success story of our platform.Being part of Blippar’s close-knit, passionate, forward-thinking team affords plenty of potential for learning about and getting involved in all sections of the business. As a creative tech company offering spectacular marketing solutions to clients, there are few areas we don’t touch upon. Life at Blippar is a steep learning curve, ideal for ambitious candidates who wish to push themselves into completely uncharted territories.We also offer:Competitive packagesGreat benefits and shares schemeEmployee incentive schemeFlexible working environmentWeekly beers and free lunchesOur office dog (London)Work with state-of-the-art hardware and softwareAccess to new wearables including Google GlassChance to shape a new industryCreative freedom and controlPlease apply now for more information about this role, or check our careers page for details of other opportunities to work with us.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Marketing,0
14518,14519,Senior Frontend Developer (Javascript),"DE, BE, Berlin",R&D,45000-72000,"RhodeCode provides the leading source code management solution for enterprises. We are powering the world`s largest organizations, who depend on our products to make their software development process more flexible, collaborative, productive &amp; secure.Every day millions of developers, project managers and QA engineers are using our innovative software which plays a central role in their work life.Our company core values are about questioning the existing, being open &amp; delivering just the absolutely outstanding.Everyone who is with us is an expert in his/her field of expertise, works in a small team of other gifted A-players and helps to achieve the team's mission. Everyone takes full responsibility for his/her work, is treated with respect and management is just there to remove blockers. No committees, no micromanagement, just the focus on delivering the outstanding.Help us to make the world better for millions of people. Have a real impact. Apply today!","Every day millions of developers, project managers and QA engineers are using RhodeCode Enterprise which plays a central role in their professional life to get their job done.If you want to have a real, lasting impact on the way millions of people work and you are willing to go the extra mile to ship just outstanding work then the following job may be something for you.As part of one of our development teams, you optimize our Javascript frontend code and ensure the optimal data flow between application backend and the user-facing frontend.Additionally, since many design, handling and user experience issues are just appearing during the actual implementation, you need to have an eye for things that just don’t feel or look right to be able to quickly fix them during development. Our enterprise web applications are used on a large ecosystem of browsers and you need to be skilled in writing frontend code which is as fast, simple and cross-browser compatible as possible.Our frontend focus is about providing a rock-solid, high quality user experience and Javascript plays a major role in that position.In general, it is a technically very challenging, but also rewarding high-tech position in a small team of gifted A-players.","7+ years working as a web developer for customer-facing websitesVery strong Javascript skills for data flow, processing, rendering and cachingProven track record in YUI and/or jQueryWork experience with a wide variety of desktop and mobile browser platformsWork experience in writing frontend testsProven track record in open source projectsVery good spoken &amp; written English","Comprehensive compensation package, including stock optionsQuiet work environment with 3-5 people rooms next to a park and riverFlexible working hoursOpportunity to have a real impact",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0
14534,14535,Personal Assistant to the CEO,"EG, C, Cairo, Nasr City",Administration,96000-120000,"Thanks for visiting our Job Board. Please review our open positions and apply to the positions that match your qualifications.Cequens is a global cloud communication carrier with customers in over 40 countries, specialized in advanced Mobile Messaging Services all over the world. Its activities include providing MT (Mobile Terminate) and MO (Mobile Originate) connectivity for large SMS clients and aggregators ranging from enterprises to multi-nationals and public sector organizations, supplying high quality SMS solutions for business use, the company is a licensed SMS aggregator in Egypt and Saudi Arabia and maintain branches in those countries.Vision To be the number one, most successful messaging company in the markets we serve.Mission""To Unleash the World's Power to Communicate""Our Core valuesInnovationExcellenceTeamworkFlexibilitySecuritySustainabilityCequens Team                                                            We believe in choosing the best calibers and assisting them in continuing to develop their potential and qualifications. A good working environment, the right motivation and great teamwork is the way we use to successfully achieve our goals."," Role SummaryPersonal assistants (PA) will act as the CEO first point of contact with people from both inside and outside the organisation. Tasks are likely to include .Main Duties and ResponsibilityDevising and maintaining office systems, including data management and filing.Arranging travel, visa and accommodations.Screening phone calls, inquiries and requests, and handle them when appropriate.Meeting and greeting visitors at all levels of seniority.Organizing and maintaining logs and making appointments.Dealing with incoming email, faxes and post, corresponding on behalf of the CEOTaking dictation and minutes.Carrying out background research and presenting findings.Producing documents, briefing papers, reports and presentations.Liaising with clients, suppliers and other staff.  ",CEO executive assistant must have a professional profile. A varied experience working as CEO assistant for start-up companies and established large corporations is important. ,"Attractive pay packageMobile allowanceTransportation allowancePersonal loansFlexible hoursMedical insuranceSocial insurancePaid vacationsSocial activitiesTraining &amp; developmentTuition assistanceProfit ShareCequens Team                                                          We believe in choosing the best calibers and assisting them in continuing to develop their potential and qualifications. A good working environment, the right motivation and great teamwork is the way we use to successfully achieve our goals.About usWe are a leading technology corporation that specializes in mobile messaging services and solutions. Serving hundreds of renowned customers in more than 40 countries worldwide, please visit our website #URL_414f2c0c30d37b5a8db0880b6d51f6b9b08fc03a22553f0d0a568b2687dc8e3e# to know more about us. ",0,1,0,Full-time,Associate,Bachelor's Degree,Telecommunications,Administrative,0
14560,14561,Full Stack Python Developer ,"DE, BE, Berlin",R&D,48000-60000,"RhodeCode provides the leading source code management solution for enterprises. We are powering the world`s largest organizations, who depend on our products to make their software development process more flexible, collaborative, productive &amp; secure.Every day millions of developers, project managers and QA engineers are using our innovative software which plays a central role in their work life.Our company core values are about questioning the existing, being open &amp; delivering just the absolutely outstanding.Everyone who is with us is an expert in his/her field of expertise, works in a small team of other gifted A-players and helps to achieve the team's mission. Everyone takes full responsibility for his/her work, is treated with respect and management is just there to remove blockers. No committees, no micromanagement, just the focus on delivering the outstanding.Help us to make the world better for millions of people. Have a real impact. Apply today!","Every day millions of developers, project managers and QA engineers are using RhodeCode Enterprise which plays a central role in their professional life to get their job done.If you want to have a real, lasting impact on the way millions of people work and you are willing to go the extra mile to ship just outstanding work then the following job may be something for you.As part of one of our development teams, you turn designs into frontend code by using the framework Pylons and Pyramid and the Mako template engine. You ensure the optimal data flow between application backend, framework and the user-facing frontend.Additionally, since many design, handling and user experience issues are just appearing during the actual implementation, you need to have an eye for things that just don’t feel or look right to be able to quickly fix them during development. Our enterprise web applications are used on a large ecosystem of browsers and you need to be skilled in writing frontend code which is as responsive, fast, simple and cross-browser compatible as possible.In general, it is a technically very challenging, but also rewarding high-tech position in a small team of gifted A-players.","5+ years working as a Python web developerExpert at Twitter Bootstrap, HTML5 and CSS3, with a passion for producing responsive and pixel-perfect pagesStrong Javascript skills for data flow, processing, rendering and cachingProven track record with Mako, Pylons and/or PyramidProven track record in YUI and/or jQueryWork experience with a wide variety of desktop and mobile browser platformsWork experience in writing frontend testsProven track record in open source projectsVery good spoken &amp; written English","Comprehensive compensation package, including stock optionsQuiet work environment with 3-5 people rooms in Berlin Mitte next to a park and riverFlexible working hoursOpportunity to have a real impact and to drive innovation",0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0
14599,14600,Custom Product Specialist,"US, OH, Mason",Sales,30000-45000,"About Us:For nearly 20 years, Touchstone has been pioneering an entirely new approach to brand promotion and products through design. We do this by blending an experienced promotional products agency, graphic design studio, and product development group with a new level of consumer participation. With a focus on Design and Lifestyle, we develop products that surround some of the most celebrated brands in the world.  We believe that our approach to Design, Innovation and Engagement are challenging the norms of the promotional products industry to help create more inspired brands. We value thinking beyond the limits, courageous people, and stronger relationships between brands and consumers. If this sounds like the culture you want to be a part of then you need to talk with us.","POSITION/TITLE: Custom Product SpecialistDEPARTMENT: Field SalesLOCATION: Mason, OHSALARY RANGE: Compensation will be commensurate with experienceBENEFITS:  Full Benefits PackageTYPE: Full TimeORGANIZATION:  Touchstone Merchandise Group, LLC.REPORTS TO: Sr. Vice President of SalesGENERAL DESCRIPTION:The Custom Product Specialist (CPS) is responsible for providing sales and merchandising support to Touchstone Account Executives (AE), while also project managing for,  and collaborating with, the AE and client stakeholders to provide branded merchandise solutions and campaigns which further enhance the client’s brand and help to elevate the consumer’s point of interaction with that brand.  A CPS will provide superior customer service to a diverse group of internal and external clients in an energetic, fast paced environment. DUTIES AND RESPONSIBILITIES:The primary functions of the Custom Product Specialist are project order entry, order management, vendor communication, quoting, and field sales support. Enters customer orders under the direction of the Account Executive.Oversees order management to effectively move projects through the order production stages. Responsible for communication of all stages of order production to the customers and Account Executive. Maintains relationships with key suppliers in order to gain best product pricing.Troubleshoots any vendor issues to keep orders on schedule.Balances completed orders to ensure accurate billing.Develops product solutions for customers based on the client’s promotional needs.","JOB QUALIFICATIONS:Minimum Requirements:Bachelor Degree or 2-5 years work experience preferred Knowledge, Skills and Abilities Required:Highly skilled in time management and working on multiple projectsMust have excellent leadership, team management and relationship building skillsFlexibility to lead diverse and dynamic teams to deliver integrated solutionsStrong problem solving skills and ability to focus both strategically and tactically to achieve project or business goalsSelf-directed and the ability to work independently and manage communication with multiple groupsExcellent business and communication skills (written and verbal)Strong analytical ability and sales business knowledge is a major plus",Salary Range:Compensation will be commensurate with experienceBenefits:Full Benefits Package,0,1,0,Full-time,Entry level,Bachelor's Degree,Marketing and Advertising,Project Management,0
14611,14612,Senior Java Developer,"NZ, N, Auckland",Software Products - Development,90000-110000,"Want to be part of a NZ success story that’s going places?Want to have a hand in developing products that you’ll be proud of?We are a driven and ambitious technology business with a Vision to deliver revolutionary transactional and self service products that make people wonder how they ever lived without them.Designed in New Zealand and exported across the world, our products have an enviable history of delivering smart and robust technology solutions to the oil and gas retail sector. We have developed many first-in-world products and we are embarking on our next strategic horizon - so we have exciting and challenging times ahead!Types of roles we recruit for;Embedded and Application EngineersMechanical, Hardware and Production EngineersSoftware Developers (particularly Java Dev’s with payments experience)Product ArchitectsQA &amp; Compliance (including Test Analysts / Test Engineers)Project Managers (software and hardware)Solutions Consultants (Business Analysts)Plus much much moreWe believe in the importance of living and breathing our Company Values; we’re Passionate, we do What We Say, we’re Straight Up, we’re Creative, we’re Team players, we’re all about Quality, we make it Win-Win and People Matter to us.","If you are an accomplished Java Software Developer at a Senior level looking for a new challenge which will offer growth, this could be the role you have been looking for!We are a driven and ambitious technology business with a Vision to deliver revolutionary transactional and self service products that make people wonder how they ever lived without them.Designed in New Zealand and exported across the world, our products have an enviable history of delivering smart and robust technology solutions. We have developed many first-in-world products and have a long history of innovative site automation solutions. We are embarking on our next strategic horizon - implementing cloud and mobile strategies to retain our leadership and recognised innovation, so we have exciting and challenging times ahead.Reporting to the Development Team Manager, you will be able to design, build and maintain software solutions with a commitment to delivering a quality solution on time that meets or exceeds the needs of our internal and external customers.Core functions will include but not be limited to; software development, documentation and testing.",Our ideal candidates will have;Tertiary qualification in Computer Science or Information Technology or equivalent practical experience at a senior level5+ years software development experience in a similar roleExperience with OOAD and relational databasesAdvanced Java knowledge and experienceProven ability to solve complex problemsUnit testing expertise and familiarity with code quality metricsBroad experience of software development and relevant methodologiesExcellent communication skills both written and verbalAbility to build and sustain effective relationshipsBONUS if you have an understanding of payment systems products and their product domainsDesirable to have experience with automated testing techniques,"We are in an exciting growth phase, if you would like the opportunity to work for an organisation where your skills and performance will be recognised, an organisation that believes in investing in your learning and development, then we would like to hear from you!City fringe location - based in PonsonbyEmployee Wellbeing ProgrammeActive Social ClubPerformance based pay, training and development opportunities, challenging work, flexible work hours, paid birthday leave, discounted medical insurance, discounted Gym membership, Cafe discounts and access to EAP services.We believe in the importance of living our Company Values; we’re Passionate, we do What We Say, we’re Straight Up, we’re Creative, we’re Team players, we’re all about Quality, we make it Win-Win and People Matter to us.If this sounds like you and you want to work with a passionate group of people who work hard to get projects across the line; do what needs to be done to deliver successfully and have fun while doing it, then apply today!#URL_5986f170772b5bd01bbbe5dcef6d24f90be00a45753fa426e2c4ec5453248cd6#",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
